Supplier,File_Month,Origin_Country,Origin_City,Dest_Country,Destination,Container,Incoterms,Mode,O_Curr,O_Cost_NonHaz,O_Cost_Haz,Sea_Curr,Sea_Base,Sea_IMO,D_Curr,D_Cost_NonHaz,D_Cost_Haz,Transit_Days,Validity_Internal,Carrier,Comments
supplier1,202512,France,Huningue,Belgium,Antwerp,20DC,FOB,Road,EUR,1388,1077,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Belgium,Antwerp,20DC,FOB,Rail,EUR,88,275,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Belgium,Antwerp,40DC/40HC,FOB,Barge,EUR,489,234,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Belgium,Antwerp,40DC/40HC,FOB,Road,EUR,1576,1446,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Belgium,Antwerp,40DC/40HC,FOB,Rail,EUR,721,248,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Argentina,Buenos Aires,20DC,CPT,Barge,EUR,329,617,EUR,39,53,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Argentina,Buenos Aires,20DC,CPT,Road,EUR,315,779,EUR,7,83,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Argentina,Buenos Aires,20DC,CPT,Rail,EUR,319,1160,EUR,176,64,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Argentina,Buenos Aires,40DC/40HC,CPT,Barge,EUR,528,248,EUR,44,46,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Argentina,Buenos Aires,40DC/40HC,CPT,Road,EUR,791,1462,EUR,195,38,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Argentina,Buenos Aires,40DC/40HC,CPT,Rail,EUR,255,76,EUR,217,76,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Vietnam,Cai Mep,20DC,CPT,Barge,EUR,102,779,USD,9,53,0,0,0,63,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Vietnam,Cai Mep,20DC,CPT,Road,EUR,1470,383,USD,10,40,0,0,0,63,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Vietnam,Cai Mep,20DC,CPT,Rail,EUR,1042,788,USD,64,62,0,0,0,63,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Vietnam,Cai Mep,40DC/40HC,CPT,Barge,EUR,87,369,USD,22,71,0,0,0,63,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Vietnam,Cai Mep,40DC/40HC,CPT,Road,EUR,1419,733,USD,11,73,0,0,0,63,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Vietnam,Cai Mep,40DC/40HC,CPT,Rail,EUR,776,1181,USD,48,59,0,0,0,63,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,India,Hyderabad (ICD),20DC,CPT,Barge,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad (ICD),20DC,CPT,Road,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad (ICD),20DC,CPT,Rail,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad (ICD),40DC/40HC,CPT,Barge,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad (ICD),40DC/40HC,CPT,Road,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad (ICD),40DC/40HC,CPT,Rail,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad,20DC,DAP,Barge,EUR,0,0,USD,0,0,USD,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad,20DC,DAP,Road,EUR,0,0,USD,0,0,USD,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad,20DC,DAP,Rail,EUR,0,0,USD,0,0,USD,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad,40DC/40HC,DAP,Barge,EUR,0,0,USD,0,0,USD,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad,40DC/40HC,DAP,Road,EUR,0,0,USD,0,0,USD,0,0,0,0,0,0
supplier1,202512,France,Huningue,India,Hyderabad,40DC/40HC,DAP,Rail,EUR,0,0,USD,0,0,USD,0,0,0,0,0,0
supplier1,202512,France,Huningue,South Africa,Coega,20DC,CPT,Barge,EUR,320,194,USD,296,34,0,0,0,27,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,South Africa,Coega,20DC,CPT,Road,EUR,1174,831,USD,34,67,0,0,0,27,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,South Africa,Coega,20DC,CPT,Rail,EUR,535,631,USD,58,55,0,0,0,27,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,South Africa,Coega,40DC/40HC,CPT,Barge,EUR,107,619,USD,306,218,0,0,0,26,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,South Africa,Coega,40DC/40HC,CPT,Road,EUR,1009,1844,USD,138,67,0,0,0,26,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,South Africa,Coega,40DC/40HC,CPT,Rail,EUR,783,428,USD,131,175,0,0,0,26,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,South Africa,Durban,20DC,CPT,Barge,EUR,537,489,USD,38,45,0,0,0,34,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,South Africa,Durban,20DC,CPT,Road,EUR,667,1078,USD,104,14,0,0,0,34,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,South Africa,Durban,20DC,CPT,Rail,EUR,1034,1170,USD,307,17,0,0,0,34,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,South Africa,Durban,40DC/40HC,CPT,Barge,EUR,14,220,USD,194,106,0,0,0,26,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,South Africa,Durban,40DC/40HC,CPT,Road,EUR,708,590,USD,22,171,0,0,0,26,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,South Africa,Durban,40DC/40HC,CPT,Rail,EUR,1212,1156,USD,83,98,0,0,0,26,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Brazil,Itapoa,20DC,CPT,Barge,EUR,283,431,EUR,123,38,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Itapoa,20DC,CPT,Road,EUR,1394,106,EUR,39,4,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Itapoa,20DC,CPT,Rail,EUR,760,963,EUR,114,72,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Itapoa,40DC/40HC,CPT,Barge,EUR,32,504,EUR,0,67,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Itapoa,40DC/40HC,CPT,Road,EUR,867,200,EUR,192,67,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Itapoa,40DC/40HC,CPT,Rail,EUR,302,1331,EUR,7,13,0,0,0,29,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Pakistan,Karachi/Port Qasim,20DC,CPT,Barge,EUR,250,500,USD,156,232,0,0,0,53,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Pakistan,Karachi/Port Qasim,20DC,CPT,Road,EUR,1702,1573,USD,448,321,0,0,0,53,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Pakistan,Karachi/Port Qasim,20DC,CPT,Rail,EUR,481,786,USD,89,244,0,0,0,53,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Pakistan,Karachi/Port Qasim,40DC/40HC,CPT,Barge,EUR,168,634,USD,7,27,0,0,0,53,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Pakistan,Karachi/Port Qasim,40DC/40HC,CPT,Road,EUR,409,517,USD,463,273,0,0,0,53,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Pakistan,Karachi/Port Qasim,40DC/40HC,CPT,Rail,EUR,320,1413,USD,128,305,0,0,0,53,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Japan,Kobe,20DC,CPT,Barge,EUR,456,359,USD,77,1,0,0,0,65,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Japan,Kobe,20DC,CPT,Road,EUR,983,152,USD,200,54,0,0,0,65,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Japan,Kobe,20DC,CPT,Rail,EUR,706,1219,USD,247,2,0,0,0,65,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Japan,Kobe,40DC/40HC,CPT,Barge,EUR,88,722,USD,20,31,0,0,0,65,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Japan,Kobe,40DC/40HC,CPT,Road,EUR,1202,1127,USD,66,20,0,0,0,65,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Japan,Kobe,40DC/40HC,CPT,Rail,EUR,141,1035,USD,0,38,0,0,0,65,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,20DC,CPT,Barge,EUR,878,365,USD,31,73,0,0,0,44,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,20DC,CPT,Road,EUR,288,683,USD,60,65,0,0,0,44,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,20DC,CPT,Rail,EUR,60,105,USD,28,26,0,0,0,44,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,40DC/40HC,CPT,Barge,EUR,15,664,USD,0,19,0,0,0,44,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,40DC/40HC,CPT,Road,EUR,85,1242,USD,13,48,0,0,0,44,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,40DC/40HC,CPT,Rail,EUR,1095,1018,USD,27,64,0,0,0,44,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,20DC,DAP,Barge,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,20DC,DAP,Road,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,20DC,DAP,Rail,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,40DC/40HC,DAP,Barge,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,40DC/40HC,DAP,Road,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Thailand,Laem Chabang,40DC/40HC,DAP,Rail,EUR,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Mexico,Leon,20DC,DAP,Barge,EUR,796,840,USD,37,27,0,0,0,17,0,MSC,0
supplier1,202512,France,Huningue,Mexico,Leon,20DC,DAP,Road,EUR,185,947,USD,362,18,0,0,0,17,0,MSC,0
supplier1,202512,France,Huningue,Mexico,Leon,20DC,DAP,Rail,EUR,294,993,USD,20,13,0,0,0,17,0,MSC,0
supplier1,202512,France,Huningue,Mexico,Leon,40DC/40HC,DAP,Barge,EUR,198,754,USD,82,5,0,0,0,17,0,MSC,0
supplier1,202512,France,Huningue,Mexico,Leon,40DC/40HC,DAP,Road,EUR,874,1728,USD,113,88,0,0,0,17,0,MSC,0
supplier1,202512,France,Huningue,Mexico,Leon,40DC/40HC,DAP,Rail,EUR,637,620,USD,48,124,0,0,0,17,0,MSC,0
supplier1,202512,France,Huningue,Uruguay,Montevideo,20DC,CPT,Barge,EUR,94,861,EUR,66,46,0,0,0,34,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Uruguay,Montevideo,20DC,CPT,Road,EUR,214,1642,EUR,62,80,0,0,0,34,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Uruguay,Montevideo,20DC,CPT,Rail,EUR,715,812,EUR,142,30,0,0,0,34,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Uruguay,Montevideo,40DC/40HC,CPT,Barge,EUR,1039,1107,EUR,65,62,0,0,0,34,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Uruguay,Montevideo,40DC/40HC,CPT,Road,EUR,1734,1765,EUR,86,89,0,0,0,34,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Uruguay,Montevideo,40DC/40HC,CPT,Rail,EUR,30,1010,EUR,90,75,0,0,0,34,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,USA,New York,20DC,CPT,Barge,EUR,376,776,USD,49,129,0,0,0,13,31/03/2026 00:00,AC Container Line,0
supplier1,202512,France,Huningue,USA,New York,20DC,CPT,Road,EUR,233,1794,USD,92,145,0,0,0,13,31/03/2026 00:00,AC Container Line,0
supplier1,202512,France,Huningue,USA,New York,20DC,CPT,Rail,EUR,827,474,USD,638,68,0,0,0,13,31/03/2026 00:00,AC Container Line,0
supplier1,202512,France,Huningue,USA,New York,40DC/40HC,CPT,Barge,EUR,146,137,USD,125,36,0,0,0,13,31/03/2026 00:00,AC Container Line,0
supplier1,202512,France,Huningue,USA,New York,40DC/40HC,CPT,Road,EUR,1059,1493,USD,342,264,0,0,0,13,31/03/2026 00:00,AC Container Line,0
supplier1,202512,France,Huningue,USA,New York,40DC/40HC,CPT,Rail,EUR,110,1199,USD,322,5,0,0,0,13,31/03/2026 00:00,AC Container Line,0
supplier1,202512,France,Huningue,China,Qingdao,20DC,CPT,Barge,EUR,361,899,USD,40,44,0,0,0,47,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Qingdao,20DC,CPT,Road,EUR,286,1349,USD,9,35,0,0,0,47,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Qingdao,20DC,CPT,Rail,EUR,644,870,USD,2,45,0,0,0,47,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Qingdao,40DC/40HC,CPT,Barge,EUR,1010,964,USD,0,24,0,0,0,47,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Qingdao,40DC/40HC,CPT,Road,EUR,1339,1259,USD,14,18,0,0,0,47,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Qingdao,40DC/40HC,CPT,Rail,EUR,109,361,USD,4,26,0,0,0,47,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Brazil,Rio Grande,20DC,CPT,Barge,EUR,127,930,EUR,72,56,0,0,0,37,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Rio Grande,20DC,CPT,Road,EUR,3,350,EUR,114,25,0,0,0,37,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Rio Grande,20DC,CPT,Rail,EUR,279,369,EUR,94,60,0,0,0,37,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Rio Grande,40DC/40HC,CPT,Barge,EUR,491,535,EUR,16,78,0,0,0,37,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Rio Grande,40DC/40HC,CPT,Road,EUR,856,642,EUR,255,24,0,0,0,37,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Rio Grande,40DC/40HC,CPT,Rail,EUR,287,251,EUR,364,32,0,0,0,37,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Netherlands,Rotterdam,20DC,FOB,Barge,EUR,663,697,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Netherlands,Rotterdam,20DC,FOB,Road,EUR,692,239,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Netherlands,Rotterdam,20DC,FOB,Rail,EUR,399,558,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Netherlands,Rotterdam,40DC/40HC,FOB,Barge,EUR,920,61,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Netherlands,Rotterdam,40DC/40HC,FOB,Road,EUR,1037,1475,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Netherlands,Rotterdam,40DC/40HC,FOB,Rail,EUR,1276,943,0,0,0,0,0,0,0,0,0,charges from booking agent as per outlay; +EUR 300.00 if night stop required
supplier1,202512,France,Huningue,Brazil,Santos,20DC,CPT,Barge,EUR,761,404,EUR,13,41,0,0,0,27,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Santos,20DC,CPT,Road,EUR,1515,334,EUR,15,76,0,0,0,27,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Santos,20DC,CPT,Rail,EUR,1040,649,EUR,82,83,0,0,0,27,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Santos,40DC/40HC,CPT,Barge,EUR,944,487,EUR,133,12,0,0,0,27,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Santos,40DC/40HC,CPT,Road,EUR,1572,337,EUR,7,76,0,0,0,27,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,Brazil,Santos,40DC/40HC,CPT,Rail,EUR,587,912,EUR,186,9,0,0,0,27,31/03/2026 00:00,MAERSK,0
supplier1,202512,France,Huningue,China,Shanghai,20DC,CPT,Barge,EUR,696,160,USD,37,35,0,0,0,53,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Shanghai,20DC,CPT,Road,EUR,741,1149,USD,45,45,0,0,0,53,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Shanghai,20DC,CPT,Rail,EUR,239,697,USD,48,33,0,0,0,53,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Shanghai,40DC/40HC,CPT,Barge,EUR,463,976,USD,8,45,0,0,0,53,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Shanghai,40DC/40HC,CPT,Road,EUR,137,1412,USD,2,24,0,0,0,53,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Shanghai,40DC/40HC,CPT,Rail,EUR,588,456,USD,8,23,0,0,0,53,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Mexico,Veracruz,20DC,CPT,Barge,EUR,882,439,USD,88,27,0,0,0,16,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Veracruz,20DC,CPT,Road,EUR,550,917,USD,126,114,0,0,0,16,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Veracruz,20DC,CPT,Rail,EUR,553,403,USD,165,28,0,0,0,16,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Veracruz,40DC/40HC,CPT,Barge,EUR,49,953,USD,124,93,0,0,0,16,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Veracruz,40DC/40HC,CPT,Road,EUR,116,388,USD,398,82,0,0,0,16,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Mexico,Veracruz,40DC/40HC,CPT,Rail,EUR,8,707,USD,233,66,0,0,0,16,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,China,Xiamen,20DC,CPT,Barge,EUR,598,591,USD,28,70,0,0,0,55,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Xiamen,20DC,CPT,Road,EUR,1683,1233,USD,32,6,0,0,0,55,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Xiamen,20DC,CPT,Rail,EUR,43,1084,USD,97,59,0,0,0,55,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Xiamen,40DC/40HC,CPT,Barge,EUR,1041,320,USD,7,26,0,0,0,55,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Xiamen,40DC/40HC,CPT,Road,EUR,1146,1008,USD,3,71,0,0,0,55,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,China,Xiamen,40DC/40HC,CPT,Rail,EUR,1298,1321,USD,5,73,0,0,0,55,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,UAE,Abu Dhabi,20DC,CPT,Barge,EUR,454,861,USD,95,44,0,0,0,30,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,UAE,Abu Dhabi,20DC,CPT,Road,EUR,173,955,USD,16,58,0,0,0,30,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,UAE,Abu Dhabi,20DC,CPT,Rail,EUR,753,1066,USD,137,15,0,0,0,30,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,UAE,Abu Dhabi,40DC/40HC,CPT,Barge,EUR,225,52,USD,90,77,0,0,0,30,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,UAE,Abu Dhabi,40DC/40HC,CPT,Road,EUR,738,1146,USD,27,92,0,0,0,30,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,UAE,Abu Dhabi,40DC/40HC,CPT,Rail,EUR,834,400,USD,13,107,0,0,0,30,31/03/2026 00:00,MSC,0
supplier1,202512,France,Huningue,Yemen,Aden,20DC,CPT,Barge,0,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Yemen,Aden,20DC,CPT,Road,0,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Yemen,Aden,20DC,CPT,Rail,0,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Yemen,Aden,40DC/40HC,CPT,Barge,0,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Yemen,Aden,40DC/40HC,CPT,Road,0,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Yemen,Aden,40DC/40HC,CPT,Rail,0,0,0,0,0,0,0,0,0,0,0,0,0
supplier1,202512,France,Huningue,Turkey,Aliaga,20DC,CPT,Barge,EUR,806,227,EUR,89,77,0,0,0,22,31/03/2026 00:00,CMA-CGM,0
supplier1,202512,France,Huningue,Turkey,Aliaga,20DC,CPT,Road,EUR,1562,1123,EUR,23,83,0,0,0,22,31/03/2026 00:00,CMA-CGM,0
supplier1,202512,France,Huningue,Turkey,Aliaga,20DC,CPT,Rail,EUR,388,1127,EUR,143,96,0,0,0,22,31/03/2026 00:00,CMA-CGM,0
supplier1,202512,France,Huningue,Turkey,Aliaga,40DC/40HC,CPT,Barge,EUR,436,681,EUR,121,21,0,0,0,24,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Turkey,Aliaga,40DC/40HC,CPT,Road,EUR,1648,528,EUR,262,69,0,0,0,24,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Turkey,Aliaga,40DC/40HC,CPT,Rail,EUR,571,267,EUR,23,12,0,0,0,24,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Israel,Ashdod,20DC,CPT,Barge,EUR,340,967,EUR,187,56,0,0,0,0,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Israel,Ashdod,20DC,CPT,Road,EUR,333,1663,EUR,414,1,0,0,0,0,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Israel,Ashdod,20DC,CPT,Rail,EUR,809,362,EUR,142,15,0,0,0,0,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Israel,Ashdod,40DC/40HC,CPT,Barge,EUR,773,1035,EUR,397,55,0,0,0,0,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Israel,Ashdod,40DC/40HC,CPT,Road,EUR,1349,1227,EUR,492,35,0,0,0,0,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Israel,Ashdod,40DC/40HC,CPT,Rail,EUR,566,923,EUR,71,6,0,0,0,0,31/03/2026 00:00,ONE,0
supplier1,202512,France,Huningue,Paraguay,Asuncion,20DC,CPT,Barge,EUR,471,712,EUR,81,7,0,0,0,53,31/03/2026 00:00,COSCO,0
supplier1,202512,France,Huningue,Paraguay,Asuncion,20DC,CPT,Road,EUR,1717,602,EUR,618,9,0,0,0,53,31/03/2026 00:00,COSCO,0
supplier1,202512,France,Huningue,Paraguay,Asuncion,20DC,CPT,Rail,EUR,40,450,EUR,635,19,0,0,0,53,31/03/2026 00:00,COSCO,0
